data,data de último acesso,id,turmaTrilha,atividadesFeitas,atividadesCorretas,atividadesGerais
2021-12-06,2021-12-07,727420,1694210,51.0,47.0,191.0
2021-12-06,2021-12-10,736189,1667737,52.0,47.0,176.0
2021-12-06,2021-12-08,724633,1664084,55.0,47.0,196.0
2021-12-06,2021-12-08,584723,11400931,47.0,47.0,157.0
2021-12-06,2021-12-07,580458,12404211,55.0,47.0,244.0
2021-12-06,2021-12-12,737553,1667066,47.0,47.0,199.0
2021-12-06,2021-12-14,570765,11406311,52.0,47.0,176.0
2021-12-06,2021-12-10,726441,1663853,47.0,47.0,168.0
2021-12-06,2021-12-09,865094,23900201,47.0,47.0,134.0
2021-12-06,2021-12-11,596916,12409931,46.0,46.0,162.0
2021-12-06,2021-12-09,734742,1686434,46.0,46.0,177.0
2021-12-06,2021-12-13,839212,11409711,47.0,46.0,206.0
2021-12-06,2021-12-07,725875,1708973,46.0,46.0,163.0
2021-12-06,2021-12-09,730548,1667786,46.0,46.0,199.0
2021-12-06,2021-12-07,577401,12400113,47.0,46.0,157.0
2021-12-06,2021-12-07,734205,1667745,51.0,46.0,238.0
2021-12-06,2021-12-13,598247,21407731,47.0,45.0,151.0
2021-12-06,2021-12-07,594009,12405431,84.0,45.0,346.0
2021-12-06,2021-12-11,580364,12404511,47.0,45.0,151.0
2021-12-06,2021-12-10,728075,1690507,45.0,45.0,172.0
2021-12-06,2021-12-11,738668,1686434,54.0,45.0,203.0
2021-12-06,2021-12-13,600144,21402731,45.0,45.0,144.0
2021-12-06,2021-12-13,836678,12403811,45.0,45.0,179.0
2021-12-06,2021-12-08,735089,1693763,56.0,45.0,189.0
2021-12-06,2021-12-13,600493,21403431,46.0,45.0,132.0
2021-12-06,2021-12-10,738171,1667042,47.0,44.0,253.0
2021-12-06,2021-12-13,583981,21401111,44.0,44.0,117.0
2021-12-06,2021-12-13,585627,11401431,46.0,44.0,162.0
2021-12-06,2021-12-09,733170,1665725,47.0,44.0,202.0
2021-12-06,2021-12-08,731409,1667737,44.0,44.0,136.0
2021-12-06,2021-12-07,731894,1664785,46.0,44.0,211.0
2021-12-06,2021-12-13,588447,11405031,44.0,44.0,166.0
2021-12-06,2021-12-13,737114,1667814,45.0,44.0,157.0
2021-12-06,2021-12-07,494321,25401031,44.0,43.0,129.0
2021-12-06,2021-12-09,729030,1662319,66.0,43.0,250.0
2021-12-06,2021-12-10,568355,11401011,46.0,43.0,185.0
2021-12-06,2021-12-10,724376,1664032,53.0,43.0,199.0
2021-12-06,2021-12-09,587771,11404431,43.0,43.0,182.0
2021-12-06,2021-12-09,775760,23900201,56.0,43.0,255.0
